,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1701936415000,664.0,,,,,,,,
1701936420000,339.0,,,,,,,,
1701936425000,232.0,,,,,,,,
1701936430000,177.0,,,,,,,,
1701936435000,251.0,,,,,,,,
1701936440000,355.0,,,,,,,,
1701936445000,422.0,,,,,,,,
1701936450000,494.0,,,,,,,,
1701936455000,551.0,,,,,,,,
1701936460000,551.0,,,,,,,,
1701936465000,596.0,,,,,,,,
1701936470000,632.0,,,,,,,,
1701936475000,663.0,,,,,,,,
1701936480000,691.0,,,,,,,,
1701936485000,773.0,,,,,,,,
1701936490000,855.0,,,,,,,,
1701936495000,938.0,,,,,,,,
1701936500000,975.0,,,,,,,,
1701936505000,986.0,,,,,,,,
1701936510000,1000.0,,,,,,,,
1701936515000,1000.0,,,,,,,,
1701936520000,1000.0,,,,,,,,
1701936525000,1000.0,,,,,,,,
1701936530000,1000.0,,,,,,,,
1701936535000,1000.0,,,,,,,,
1701936540000,1000.0,,,,,,,,
1701936545000,1000.0,,,,,,,,
1701936550000,1000.0,,,,,,,,
1701936555000,1000.0,,,,,,,,
1701936560000,1000.0,,,,,,,,
1701936565000,1000.0,,,,,,,,
1701936570000,1000.0,,,,,,,,
1701936575000,1000.0,,,,,,,,
1701936580000,1000.0,,,,,,,,
1701936585000,1000.0,,,,,,,,
1701936590000,1000.0,,,,,,,,
1701936595000,1000.0,,,,,,,,
1701936600000,1000.0,,,,,,,,
1701936605000,1000.0,,,,,,,,
1701936610000,1000.0,,,,,,,,
1701936615000,1000.0,,,,,,,,
1701936620000,1000.0,,,,,,,,
1701936625000,1000.0,,,,,,,,
1701936630000,1000.0,,,,,,,,
1701936635000,1000.0,,,,,,,,
1701936640000,1000.0,,,,,,,,
1701936645000,1000.0,,,,,,,,
1701936650000,1000.0,,,,,,,,
1701936655000,1000.0,,,,,,,,
1701936660000,1000.0,,,,,,,,
1701936665000,1000.0,,,,,,,,
1701936670000,1000.0,,,,,,,,
