Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 8)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 9)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 10)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 11)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 9)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 10)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 11)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
10,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
30,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
35,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
40,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
45,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
50,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
55,0.0,0.0,0.0,,,,,,,,,,1000.0,,1000.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
60,0.0,0.0,0.0,,,,,,,,,,987.0,1000.0,967.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
65,1.833333333333,1.983333333333,1.95,,,,,,,,,,922.0,959.0,888.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
70,5.3,5.866666666666,4.833333333333,,,,,,,,,,871.0,889.0,817.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
75,13.033333333333,14.216666666666,13.666666666666,,,,,,,,,,834.0,817.0,746.0,,,,,,,,,,4.0,8.0,-1.0,-1.0,3
80,,69.05,69.0166666666,,,,,,,,,,,758.0,689.0,,,,,,,,,,,,-1.0,-1.0,2
85,150.45,154.95,154.65,,,,,,,,,,834.0,704.0,627.0,,,,,,,,,,36.0,72.0,-1.0,-1.0,3
90,261.45,260.6,255.2333333333,,,,,,,,,,834.0,634.0,555.0,,,,,,,,,,50.0,96.0,-1.0,-1.0,3
95,389.2166666666,388.2666666666,402.5,,,,,,,,,,834.0,570.0,490.0,,,,,,,,,,77.0,124.0,-1.0,-1.0,3
100,529.15,547.6166666666,541.2333333333,,,,,,,,,,834.0,512.0,428.0,,,,,,,,,,95.0,166.0,-1.0,-1.0,3
105,773.9,791.5333333333,785.4166666666,,,,,,,,,,834.0,453.0,367.0,,,,,,,,,,127.0,218.0,-1.0,-1.0,3
110,961.0833333333,990.3833333333,981.25,,,,,,,,,,834.0,392.0,311.0,,,,,,,,,,178.0,269.0,-1.0,-1.0,3
115,1263.85,1282.6,1269.65,,,,,,,,,,834.0,336.0,252.0,,,,,,,,,,216.0,320.0,160595.0,-1.0,3
